id,companyId,projectId,wpsno,material,thickness,jdia,thickness2,jdia2,jprocess,jprocess2,jtype,weldStick,weldRod,weldSolder,mixing,isHeat,weldStandard,filename,filepath,projectSubConstractor,remark,delFlag,createName,createDate,updateName,updateDate,opt
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,WPS-CC7-MK-ОХНВП-РД-039,M11,9.0~10.0,426.0~530.0,9.0~10.0,426.0~530.0,SMAW,SMAW,С17,,E308L-15/E308L-16,,Y,,ОХНВП,,,MK,,,何力,2024-08-01,阳东,2024-12-12,Посмотреть вложение 
,,,WPS-CC7-MK-ОХНВП-РД-038,M01,9.0~10.0,426.0~530.0,9.0~10.0,426.0~530.0,SMAW,SMAW,С17,,E7015-G/E7016/E7018,,Y,,ОХНВП,,,MK,,,何力,2024-08-01,阳东,2024-12-12,Посмотреть вложение 
,,,WPS-CC7-MK-ОХНВП-РАД-037,M11,3.0~4.0,32.0~57.0,3.0~4.0,32.0~57.0,GTAW,GTAW,С17,ER308/ER308L/ER308LSI,,,Y,,ОХНВП,,,MK,,,何力,2024-08-01,阳东,2024-12-12,Посмотреть вложение 
,,,WPS-CC7-MK-ОХНВП-РАД-036,M01,3.0~4.0,32.0~57.0,3.0~4.0,32.0~57.0,GTAW,GTAW,С17,ER70S-6,,,Y,,ОХНВП,,,MK,,,何力,2024-08-01,阳东,2024-12-12,Посмотреть вложение 
